graph_id,world,fold,node_id,comparison,primary_arm,comparator_arm,metric,primary_value,comparator_value,comparator_instances,delta
graph_00,industrial_cooling_system,1,node_013,oracle_vs_reverse,core_oracle_estimated_weights,core_reversed_graph,gold_embedding_cosine,0.8873130933953995,0.7846236099441197,1,0.10268948345127982
graph_00,industrial_cooling_system,1,node_013,oracle_vs_reverse,core_oracle_estimated_weights,core_reversed_graph,mrr,0.25,0.16666666666666666,1,0.08333333333333334
graph_00,industrial_cooling_system,1,node_013,oracle_vs_reverse,core_oracle_estimated_weights,core_reversed_graph,recall_at_1,0.0,0.0,1,0.0
graph_00,industrial_cooling_system,1,node_013,oracle_vs_reverse,core_oracle_estimated_weights,core_reversed_graph,recall_at_5,1.0,0.0,1,1.0
graph_00,industrial_cooling_system,1,node_013,oracle_vs_reverse,core_oracle_estimated_weights,core_reversed_graph,exact_decode,0.0,0.0,1,0.0
graph_00,industrial_cooling_system,1,node_013,oracle_vs_no_graph,core_oracle_estimated_weights,uniform,match_acc,1.0,1.0,1,0.0
graph_00,industrial_cooling_system,1,node_013,oracle_vs_no_graph,core_oracle_estimated_weights,uniform,gold_embedding_cosine,0.8873130933953995,0.906734173293726,1,-0.01942107989832642
graph_00,industrial_cooling_system,1,node_013,oracle_vs_no_graph,core_oracle_estimated_weights,uniform,mrr,0.25,0.05,1,0.2
graph_00,industrial_cooling_system,1,node_013,oracle_vs_no_graph,core_oracle_estimated_weights,uniform,recall_at_1,0.0,0.0,1,0.0
graph_00,industrial_cooling_system,1,node_013,oracle_vs_no_graph,core_oracle_estimated_weights,uniform,recall_at_5,1.0,0.0,1,1.0
graph_00,industrial_cooling_system,1,node_013,oracle_vs_no_graph,core_oracle_estimated_weights,uniform,exact_decode,0.0,0.0,1,0.0
graph_00,industrial_cooling_system,1,node_013,oracle_vs_rawcorr,core_oracle_estimated_weights,raw_correlation,match_acc,1.0,1.0,1,0.0
graph_00,industrial_cooling_system,1,node_013,oracle_vs_rawcorr,core_oracle_estimated_weights,raw_correlation,gold_embedding_cosine,0.8873130933953995,0.9086841583371625,1,-0.021371064941762996
graph_00,industrial_cooling_system,1,node_013,oracle_vs_rawcorr,core_oracle_estimated_weights,raw_correlation,mrr,0.25,0.05555555555555555,1,0.19444444444444445
