graph_id,world,shuffle_id,permutation_index,permutation_seed,permutation,permutation_sha256,adjacency_sha256,edge_count,support_validated,n,match_acc,gold_embedding_cosine,mrr,recall_at_1,recall_at_5,exact_decode,oracle_minus_shuffle_match_acc,oracle_minus_shuffle_gold_embedding_cosine,oracle_minus_shuffle_mrr,oracle_minus_shuffle_recall_at_1,oracle_minus_shuffle_recall_at_5,oracle_minus_shuffle_exact_decode
graph_02,water_treatment_system,shuffle_01,1,74302,"[13, 10, 17, 16, 12, 1, 18, 14, 0, 9, 11, 5, 4, 15, 3, 2, 6, 8, 7, 19]",555ca8f572beb79a568699aa0add75cbcf479ffa851ddfc0297eb35ea84a3f8b,ece0fa4e9b81eb4c6a571970c02c53e0543693508aa5e4e555a3bca57d140051,29,1,20,0.35,0.8413742821333574,0.18096333405156934,0.0,0.3,0.0,0.20000000000000007,-0.09203249058487195,-0.008634626252660316,0.0,0.10000000000000003,0.0
graph_02,water_treatment_system,shuffle_02,2,74303,"[0, 9, 6, 1, 3, 11, 8, 5, 7, 15, 13, 2, 17, 4, 10, 14, 18, 16, 12, 19]",092d0d3969acf0452a1bd85678cd80c9c77816ff59b0e747b442211e8e8345b9,22d5e455bd5214df2ed2750dfb805ea29e610c62415b57812aa8cea9633ccaec,29,1,20,0.45,0.8025884396634201,0.16313242313242315,0.0,0.35,0.0,0.10000000000000003,-0.053246648114934625,0.009196284666485866,0.0,0.050000000000000044,0.0
graph_02,water_treatment_system,shuffle_03,3,74304,"[3, 19, 10, 4, 13, 17, 8, 11, 12, 15, 18, 6, 5, 7, 1, 0, 14, 16, 9, 2]",23e759d7e6fdf1ab04945cc9a4a97b5154e75de9d0e602125b8639eabf9ad6d3,9c697c936c52d23842030a120c36f7184d9817950cb25acac7337a18b5f82940,29,1,20,0.35,0.727759694556198,0.16593165606323504,0.0,0.3,0.0,0.20000000000000007,0.021582096992287414,0.006397051735673981,0.0,0.10000000000000003,0.0
graph_02,water_treatment_system,shuffle_04,4,74305,"[19, 7, 2, 1, 14, 9, 15, 6, 12, 4, 11, 16, 17, 10, 3, 8, 13, 0, 5, 18]",b7ecc5e3266d63cb3d7efa68436846bb55459fdbf5b387aa7f2e775c7c04bbc0,cc27c4e7d135669a96a8a3ed6b1e97aaac27931cc83b24a63ca7d5014b23ac89,29,1,20,0.4,0.7718113295007596,0.15422736469756596,0.0,0.3,0.0,0.15000000000000002,-0.022469537952274132,0.018101343101343065,0.0,0.10000000000000003,0.0
graph_02,water_treatment_system,shuffle_05,5,74306,"[19, 16, 8, 6, 12, 1, 14, 5, 15, 3, 10, 17, 0, 2, 7, 11, 4, 13, 18, 9]",9d67f8fe1a4545aef5eb17f1612790bc4fec45866239ae87aa84a847dcb3f5e2,e5dd1a90365250303329782fb54ad683e3692e6db43068ddd57e88a1d27284bb,29,1,20,0.4,0.8157022161940934,0.13155809468309468,0.0,0.2,0.0,0.15000000000000002,-0.06636042464560798,0.04077061311581434,0.0,0.2,0.0
graph_02,water_treatment_system,shuffle_06,6,74307,"[4, 5, 10, 19, 6, 11, 15, 0, 12, 9, 7, 1, 17, 2, 13, 16, 8, 3, 18, 14]",2f65e63c1c4e778569eb152dc334623a87a67d17e9629889748d871ec7ec1cdf,1d104b3863f82720fdef0d2d59787e76b63f89062b436ab41c85e0e04650f5fa,29,1,20,0.15,0.741725619137406,0.1075564405924313,0.0,0.15,0.0,0.4,0.00761617241107948,0.06477226720647772,0.0,0.25,0.0
graph_02,water_treatment_system,shuffle_07,7,74308,"[10, 14, 9, 11, 19, 8, 16, 18, 0, 1, 2, 12, 15, 5, 4, 13, 7, 6, 3, 17]",2bf182dbd8f25938aafaee0ccce20cf7e4d26d0bf82b49cb1ad87989b7b65020,125e96b65032383008c6d4853b4e59a8c91b5bf9cae60200c830711f08bd7267,29,1,20,0.45,0.8052958166284391,0.20056727994227996,0.0,0.4,0.0,0.10000000000000003,-0.05595402507995362,-0.028238572143370944,0.0,0.0,0.0
graph_02,water_treatment_system,shuffle_08,8,74309,"[17, 12, 10, 18, 2, 11, 3, 15, 0, 5, 4, 16, 1, 9, 6, 19, 8, 14, 7, 13]",7f28205088d0461caf729b3537ac3f5eb99583532bcbc95c08a1a061737a1aa9,57cac3dfaaac350b8faf9fe45863f1091aac23bbe31e9441cf28b4a73d369f55,29,1,20,0.45,0.7300483715689489,0.12196245339627694,0.0,0.2,0.0,0.10000000000000003,0.019293419979536597,0.05036625440263208,0.0,0.2,0.0
graph_02,water_treatment_system,shuffle_09,9,74310,"[11, 4, 1, 9, 13, 7, 15, 5, 16, 14, 12, 17, 19, 18, 0, 3, 6, 8, 2, 10]",b8c4b88b0f7f8b906c1e1925500efbba5d908910157bd525cc303a671e964e08,fe8c2112a6751d85da462f47afd66e0dac797a85b3fdc2111a8d4b1cf4e5ddc4,29,1,20,0.35,0.6553993163487739,0.19654456654456653,0.0,0.35,0.0,0.20000000000000007,0.09394247519971155,-0.024215858745657515,0.0,0.050000000000000044,0.0
graph_02,water_treatment_system,shuffle_10,10,74311,"[7, 3, 11, 0, 19, 1, 17, 14, 16, 9, 15, 6, 5, 18, 2, 10, 13, 12, 8, 4]",5ec9a7194bf56e2ea319050d363a13c085fe6d8f97cf1f47908bef3eaa22fa03,dd32cdd7065f1cb5fb420c9de54b0ccafd82e954d2e1901be9279382079a5554,29,1,20,0.35,0.7970235843548559,0.15853597275617398,0.0,0.35,0.0,0.20000000000000007,-0.047681792806370416,0.013792735042735038,0.0,0.050000000000000044,0.0
