scope,graph_id,arm,diagnostic,stratum,n,judge_acc,judge_status,match_acc,gold_embedding_cosine,mrr,recall_at_1,recall_at_5,exact_decode
graph,graph_00,core_oracle_true_weights,visible_child,no,3,,pending,0.6666666666666666,0.47885498318290814,0.21527777777777776,0.0,0.6666666666666666,0.0
graph,graph_00,core_oracle_true_weights,visible_child,yes,17,,pending,0.9411764705882353,0.779631692336209,0.2819327731092437,0.0,0.7058823529411765,0.0
graph,graph_00,core_shuffled_graph,visible_child,no,60,,pending,0.26666666666666666,0.6226465921198698,0.12357602357795856,0.0,0.18333333333333332,0.0
graph,graph_00,core_shuffled_graph,visible_child,yes,340,,pending,0.4,0.7259294541524238,0.16013912302816874,0.0058823529411764705,0.3,0.0058823529411764705
graph,graph_00,core_reversed_graph,visible_child,no,3,,pending,0.6666666666666666,0.8511935141457824,0.24786324786324784,0.0,0.3333333333333333,0.0
graph,graph_00,core_reversed_graph,visible_child,yes,17,,pending,0.9411764705882353,0.8659112520461023,0.2776610644257703,0.0,0.5882352941176471,0.0
graph,graph_00,raw_correlation,visible_child,no,3,,pending,0.6666666666666666,0.9068955534808554,0.08835978835978836,0.0,0.0,0.0
graph,graph_00,raw_correlation,visible_child,yes,17,,pending,0.8235294117647058,0.9159902725113399,0.1190821132771597,0.0,0.23529411764705882,0.0
graph,graph_00,uniform,visible_child,no,3,,pending,0.3333333333333333,0.9126076072064434,0.08270676691729323,0.0,0.0,0.0
graph,graph_00,uniform,visible_child,yes,17,,pending,0.4117647058823529,0.9142161767026813,0.0790235031060928,0.0,0.0,0.0
graph,graph_01,core_oracle_estimated_weights,visible_child,no,1,,pending,0.0,0.8937361087230199,0.1111111111111111,0.0,0.0,0.0
graph,graph_01,core_oracle_estimated_weights,visible_child,yes,19,,pending,0.5263157894736842,0.8072608026294168,0.20940229361281992,0.0,0.5263157894736842,0.0
graph,graph_01,core_oracle_true_weights,visible_child,no,1,,pending,0.0,0.889068427888832,0.125,0.0,0.0,0.0
