graph_id,world,fold,node_id,arm,shuffle_id,term,term_active,optimization_applicable,status,raw_final_gradient_norm,active_final_gradient_norm,total_final_gradient_norm,raw_near_zero,near_zero,exploding,nonfinite
graph_00,industrial_cooling_system,0,node_007,independence_only_oracle,,norm,False,True,,0.05828952416777611,0.0,4.224198710289784e-05,False,True,False,False
graph_00,industrial_cooling_system,0,node_012,independence_only_oracle,,norm,False,True,,0.05982309579849243,0.0,3.087981167482212e-05,False,True,False,False
graph_00,industrial_cooling_system,0,node_018,independence_only_oracle,,norm,False,True,,0.0003323250275570899,0.0,0.0,False,True,False,False
graph_00,industrial_cooling_system,0,node_000,symmetrized_oracle,,generation,True,True,,0.06546243280172348,0.06546243280172348,0.06388267874717712,False,False,False,False
graph_00,industrial_cooling_system,0,node_007,symmetrized_oracle,,generation,True,True,,0.05507221445441246,0.05507221445441246,0.05669431388378143,False,False,False,False
graph_00,industrial_cooling_system,0,node_012,symmetrized_oracle,,generation,True,True,,0.03282366320490837,0.03282366320490837,0.0317738875746727,False,False,False,False
graph_00,industrial_cooling_system,0,node_018,symmetrized_oracle,,generation,True,True,,0.01850980333983898,0.01850980333983898,0.018309736624360085,False,False,False,False
graph_00,industrial_cooling_system,0,node_000,symmetrized_oracle,,residual_norm,True,True,,0.0,0.0,0.06388267874717712,True,True,False,False
graph_00,industrial_cooling_system,0,node_007,symmetrized_oracle,,residual_norm,True,True,,0.0,0.0,0.05669431388378143,True,True,False,False
graph_00,industrial_cooling_system,0,node_012,symmetrized_oracle,,residual_norm,True,True,,0.0,0.0,0.0317738875746727,True,True,False,False
graph_00,industrial_cooling_system,0,node_018,symmetrized_oracle,,residual_norm,True,True,,0.0,0.0,0.018309736624360085,True,True,False,False
graph_00,industrial_cooling_system,0,node_000,symmetrized_oracle,,residual_alignment,True,True,,0.0,0.0,0.06388267874717712,True,True,False,False
graph_00,industrial_cooling_system,0,node_007,symmetrized_oracle,,residual_alignment,True,True,,0.0,0.0,0.05669431388378143,True,True,False,False
graph_00,industrial_cooling_system,0,node_012,symmetrized_oracle,,residual_alignment,True,True,,0.0,0.0,0.0317738875746727,True,True,False,False
graph_00,industrial_cooling_system,0,node_018,symmetrized_oracle,,residual_alignment,True,True,,0.0,0.0,0.018309736624360085,True,True,False,False
graph_00,industrial_cooling_system,0,node_000,symmetrized_oracle,,independence,True,True,,0.0,0.0,0.06388267874717712,True,True,False,False
graph_00,industrial_cooling_system,0,node_007,symmetrized_oracle,,independence,True,True,,0.0,0.0,0.05669431388378143,True,True,False,False
graph_00,industrial_cooling_system,0,node_012,symmetrized_oracle,,independence,True,True,,0.0,0.0,0.0317738875746727,True,True,False,False
graph_00,industrial_cooling_system,0,node_018,symmetrized_oracle,,independence,True,True,,0.0,0.0,0.018309736624360085,True,True,False,False
graph_00,industrial_cooling_system,0,node_000,symmetrized_oracle,,bridge,True,True,,0.0,0.0,0.06388267874717712,True,True,False,False
graph_00,industrial_cooling_system,0,node_007,symmetrized_oracle,,bridge,True,True,,0.0,0.0,0.05669431388378143,True,True,False,False
graph_00,industrial_cooling_system,0,node_012,symmetrized_oracle,,bridge,True,True,,0.0,0.0,0.0317738875746727,True,True,False,False
graph_00,industrial_cooling_system,0,node_018,symmetrized_oracle,,bridge,True,True,,0.0,0.0,0.018309736624360085,True,True,False,False
graph_00,industrial_cooling_system,0,node_000,symmetrized_oracle,,norm,True,True,,0.0064787911251187325,0.0064787911251187325,0.06388267874717712,False,False,False,False
graph_00,industrial_cooling_system,0,node_007,symmetrized_oracle,,norm,True,True,,0.003687920980155468,0.003687920980155468,0.05669431388378143,False,False,False,False
graph_00,industrial_cooling_system,0,node_012,symmetrized_oracle,,norm,True,True,,0.007172090467065573,0.007172090467065573,0.0317738875746727,False,False,False,False
graph_00,industrial_cooling_system,0,node_018,symmetrized_oracle,,norm,True,True,,0.0016732319490984082,0.0016732319490984082,0.018309736624360085,False,False,False,False
graph_00,industrial_cooling_system,0,node_000,markov_blanket_oracle,,generation,True,True,,0.039548128843307495,0.039548128843307495,0.040002260357141495,False,False,False,False
graph_00,industrial_cooling_system,0,node_007,markov_blanket_oracle,,generation,True,True,,0.031863559037446976,0.031863559037446976,0.03125722333788872,False,False,False,False
graph_00,industrial_cooling_system,0,node_012,markov_blanket_oracle,,generation,True,True,,0.04986320808529854,0.04986320808529854,0.048210956156253815,False,False,False,False
graph_00,industrial_cooling_system,0,node_018,markov_blanket_oracle,,generation,True,True,,0.01824144460260868,0.01824144460260868,0.018144827336072922,False,False,False,False
graph_00,industrial_cooling_system,0,node_000,markov_blanket_oracle,,residual_norm,True,True,,0.0,0.0,0.040002260357141495,True,True,False,False
graph_00,industrial_cooling_system,0,node_007,markov_blanket_oracle,,residual_norm,True,True,,0.0,0.0,0.03125722333788872,True,True,False,False
graph_00,industrial_cooling_system,0,node_012,markov_blanket_oracle,,residual_norm,True,True,,0.0,0.0,0.048210956156253815,True,True,False,False
graph_00,industrial_cooling_system,0,node_018,markov_blanket_oracle,,residual_norm,True,True,,0.0,0.0,0.018144827336072922,True,True,False,False
graph_00,industrial_cooling_system,0,node_000,markov_blanket_oracle,,residual_alignment,True,True,,0.0,0.0,0.040002260357141495,True,True,False,False
graph_00,industrial_cooling_system,0,node_007,markov_blanket_oracle,,residual_alignment,True,True,,0.0,0.0,0.03125722333788872,True,True,False,False
graph_00,industrial_cooling_system,0,node_012,markov_blanket_oracle,,residual_alignment,True,True,,0.0,0.0,0.048210956156253815,True,True,False,False
graph_00,industrial_cooling_system,0,node_018,markov_blanket_oracle,,residual_alignment,True,True,,0.0,0.0,0.018144827336072922,True,True,False,False
graph_00,industrial_cooling_system,0,node_000,markov_blanket_oracle,,independence,True,True,,0.0,0.0,0.040002260357141495,True,True,False,False
graph_00,industrial_cooling_system,0,node_007,markov_blanket_oracle,,independence,True,True,,0.0,0.0,0.03125722333788872,True,True,False,False
graph_00,industrial_cooling_system,0,node_012,markov_blanket_oracle,,independence,True,True,,0.0,0.0,0.048210956156253815,True,True,False,False
graph_00,industrial_cooling_system,0,node_018,markov_blanket_oracle,,independence,True,True,,0.0,0.0,0.018144827336072922,True,True,False,False
graph_00,industrial_cooling_system,0,node_000,markov_blanket_oracle,,bridge,True,True,,0.0,0.0,0.040002260357141495,True,True,False,False
graph_00,industrial_cooling_system,0,node_007,markov_blanket_oracle,,bridge,True,True,,0.0,0.0,0.03125722333788872,True,True,False,False
graph_00,industrial_cooling_system,0,node_012,markov_blanket_oracle,,bridge,True,True,,0.0011558071710169315,0.0011558071710169315,0.048210956156253815,False,False,False,False
graph_00,industrial_cooling_system,0,node_018,markov_blanket_oracle,,bridge,True,True,,0.0,0.0,0.018144827336072922,True,True,False,False
graph_00,industrial_cooling_system,0,node_000,markov_blanket_oracle,,norm,True,True,,0.007293924689292908,0.007293924689292908,0.040002260357141495,False,False,False,False
graph_00,industrial_cooling_system,0,node_007,markov_blanket_oracle,,norm,True,True,,0.004072385374456644,0.004072385374456644,0.03125722333788872,False,False,False,False
graph_00,industrial_cooling_system,0,node_012,markov_blanket_oracle,,norm,True,True,,0.00844928715378046,0.00844928715378046,0.048210956156253815,False,False,False,False
graph_00,industrial_cooling_system,0,node_018,markov_blanket_oracle,,norm,True,True,,0.0012426563771441579,0.0012426563771441579,0.018144827336072922,False,False,False,False
graph_00,industrial_cooling_system,0,node_000,same_module_graph,,generation,True,True,,0.09247304499149323,0.09247304499149323,0.09127242118120193,False,False,False,False
graph_00,industrial_cooling_system,0,node_007,same_module_graph,,generation,True,True,,0.05540795624256134,0.05540795624256134,0.05516654998064041,False,False,False,False
graph_00,industrial_cooling_system,0,node_012,same_module_graph,,generation,True,True,,0.03295746073126793,0.03295746073126793,0.024082401767373085,False,False,False,False
graph_00,industrial_cooling_system,0,node_018,same_module_graph,,generation,True,True,,0.02288883365690708,0.02288883365690708,0.02186799794435501,False,False,False,False
graph_00,industrial_cooling_system,0,node_000,same_module_graph,,residual_norm,True,True,,0.0,0.0,0.09127242118120193,True,True,False,False
graph_00,industrial_cooling_system,0,node_007,same_module_graph,,residual_norm,True,True,,0.0,0.0,0.05516654998064041,True,True,False,False
graph_00,industrial_cooling_system,0,node_012,same_module_graph,,residual_norm,True,True,,0.0,0.0,0.024082401767373085,True,True,False,False
graph_00,industrial_cooling_system,0,node_018,same_module_graph,,residual_norm,True,True,,0.0,0.0,0.02186799794435501,True,True,False,False
graph_00,industrial_cooling_system,0,node_000,same_module_graph,,residual_alignment,True,True,,0.0,0.0,0.09127242118120193,True,True,False,False
graph_00,industrial_cooling_system,0,node_007,same_module_graph,,residual_alignment,True,True,,0.0,0.0,0.05516654998064041,True,True,False,False
graph_00,industrial_cooling_system,0,node_012,same_module_graph,,residual_alignment,True,True,,0.0,0.0,0.024082401767373085,True,True,False,False
graph_00,industrial_cooling_system,0,node_018,same_module_graph,,residual_alignment,True,True,,0.0,0.0,0.02186799794435501,True,True,False,False
graph_00,industrial_cooling_system,0,node_000,same_module_graph,,independence,True,True,,0.005487821530550718,0.005487821530550718,0.09127242118120193,False,False,False,False
graph_00,industrial_cooling_system,0,node_007,same_module_graph,,independence,True,True,,0.0029502250254154205,0.0029502250254154205,0.05516654998064041,False,False,False,False
graph_00,industrial_cooling_system,0,node_012,same_module_graph,,independence,True,True,,0.019693566486239433,0.019693566486239433,0.024082401767373085,False,False,False,False
graph_00,industrial_cooling_system,0,node_018,same_module_graph,,independence,True,True,,0.005280255805701017,0.005280255805701017,0.02186799794435501,False,False,False,False
